,titles,images,ratings,prices
58,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB Emmc+ 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold",https://m.media-amazon.com/images/I/61QuxlKVZbL._AC_UY218_.jpg,4.4 out of 5 stars,$299.00
59,"Lenovo V15 Gen 2 15.6"" FHD Portable Everyday Laptop, Intel Dual Core Processor, 16GB RAM, 512GB SSD, HDMI, Wi-Fi, Webcam, Windows 11 Pro, Black",https://m.media-amazon.com/images/I/71pJ9uc3BcL._AC_UY218_.jpg,4.3 out of 5 stars,$350.10
60,"Laptop Computer, 16GB LPDDR5 RAM Laptop 512GB NVMe SSD, Intel Quad-Core N100, 15.6 Inch 1080P IPS Display Windows 11 Pro Laptops, WiFi 6, BT 5.2, RJ45 Ethernet, Fingerprint, USB Type-C",https://m.media-amazon.com/images/I/71wO+1S84SL._AC_UY218_.jpg,4.5 out of 5 stars,$319.00
61,"Lenovo Newest 15.6"" Laptop, 16GB RAM, 1TB SSD Storage, 15.6"" FHD (1920 x 1080) Display, Ethernet Port, HDMI, USB-C, WiFi & Bluetooth, Intel Dual-core Processor, Windows 11 Home",https://m.media-amazon.com/images/I/81AyiuB2WwL._AC_UY218_.jpg,4.4 out of 5 stars,$399.87
62,"Lenovo 100e 2nd Gen 11.6"" Rugged & Spill Resistant Laptop HD Chromebook Laptop 81ma000tus Armv8 Processor Rev2 (v8l) 4GB Ram 32GB SSD (Renewed)",https://m.media-amazon.com/images/I/71fj5vgtOOL._AC_UY218_.jpg,4.0 out of 5 stars,$67.98
63,"65W Surface Pro Charger for Microsoft Surface Pro 10,9,8,7+,7,6,5,4,3,X, Windows Surface Laptop 5,4,3,2,1, Surface Laptop 5,4,3,2,1 Studio, Surface Book 3,2,1, Surface Go Tablet, with 10FT",https://m.media-amazon.com/images/I/71GE9Y+RlGL._AC_UY218_.jpg,4.9 out of 5 stars,$14.99
64,New Slim USB-C 65W 45W AC Replacement Charger for Lenovo ThinkPad T480 T4580 T490 ADLX65YDC2A ADLX65YDC3A ADLX65YLC2D ADLX65YDC2D chromebook 2nd Gen S330 65W Laptop Power Supply Adapter Cord,https://m.media-amazon.com/images/I/617UIEWxrSL._AC_UY218_.jpg,No Rating,$25.99
65,135W IdeaPad Charger for Lenovo IdeaPad Y40-70 Y40-80 Y50-70 Y50-80 Y70-70 Y70-80 Y520-15 Y530-15 Y700 Legion Y50 Y520 Y530 ADL135NLC3A 20V 6.75A Laptop Adapter,https://m.media-amazon.com/images/I/71ZLxLWz49L._AC_UY218_.jpg,No Rating,$35.00
66,"Lenovo V15 Gen 2 15.6"" FHD Portable Everyday Laptop, Intel Dual Core Processor, 8GB RAM, 512GB SSD, HDMI, Wi-Fi, Webcam, Windows 11 Home, Black",https://m.media-amazon.com/images/I/71bteddlvtL._AC_UY218_.jpg,4.0 out of 5 stars,$339.00
67,"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365), HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red",https://m.media-amazon.com/images/I/71pTP-ll4sL._AC_UY218_.jpg,4.2 out of 5 stars,$300.00
