,titles,images,ratings,prices
32,"CUBOT Kingkong Star 5G Rugged Smartphone, 10600mAh Battery Rugged Phones, 24GB + 256GB Outdoor Mobile Phone, 6.78 Inch Display,100MP+24MP Camera Smart Phone, Android 13 Cell Phone, IP68/69K/NFC (Red)",https://m.media-amazon.com/images/I/817F8A4ze-L._AC_UY218_.jpg,3.9 out of 5 stars,$339.99
33,"NUU A23Plus Basic Cell Phone for AT&T, T-Mobile, Cricket, Mint Mobile, Metro, 64G/3GB 6.3"" 4G LTE Worldwide and More, Dual SIM, Black, 365 Days US Warranty with Detachable & Replaceable Battery",https://m.media-amazon.com/images/I/71P-Cch1wlL._AC_UY218_.jpg,3.6 out of 5 stars,$87.99
34,"Google Pixel 8 - Unlocked Android Smartphone with Advanced Pixel Camera, 24-Hour Battery, and Powerful Security - Obsidian - 128 GB",https://m.media-amazon.com/images/I/81Mya-dPIOL._AC_UY218_.jpg,4.3 out of 5 stars,$699.00
35,"SAMSUNG Galaxy S21+ Plus G996U 5G | Fully Unlocked Android Cell Phone | US Version Smartphone | Pro-Grade Camera, 8K Video, 64MP High Res | 128GB - Phantom Black - (Renewed)",https://m.media-amazon.com/images/I/61-QMCHyUES._AC_UY218_.jpg,4.0 out of 5 stars,$229.99
36,"Motorola Moto G Stylus 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Cosmic Black, 162.83x73.77x9.29",https://m.media-amazon.com/images/I/61O66kJiiGL._AC_UY218_.jpg,4.1 out of 5 stars,$249.99
37,"SAMSUNG Galaxy Z Flip 3 5G Factory Unlocked Android Cell Phone US Version Smartphone Flex Mode Intuitive Camera Compact 128GB Storage US Warranty, Phantom Black (Renewed)",https://m.media-amazon.com/images/I/61E+6my831L._AC_UY218_.jpg,3.9 out of 5 stars,$234.99
38,Nokia 105 4G | Dual SIM | GSM Unlocked Mobile Phone | Volte | Charcoal | International Version | Not AT&T/Cricket/Verizon Compatible,https://m.media-amazon.com/images/I/41X3VbihvpL._AC_UY218_.jpg,No Rating,$34.99
39,Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,https://m.media-amazon.com/images/I/61r7cCpQPlL._AC_UY218_.jpg,4.3 out of 5 stars,$416.00
40,"ONEPLUS 10T 8+128GB 5G Unlocked Android Smartphone 120Hz Fluid AMOLED Display | Triple Camera 50+8+2MP, 16MP | 125W SuperVOOC Charging U.S Version Black",https://m.media-amazon.com/images/I/51SB1yJNiML._AC_UY218_.jpg,4.5 out of 5 stars,$297.99
41,"Desk Phone Holder Stand, 360 Degree Rotating Phone Holder with Anti-Slip Base, Metal Folding Stand for iPhone Holder Fits All Mobile Phones, Switch, Kindle, iPad(Purple)",https://m.media-amazon.com/images/I/71zq7JWJTuL._AC_UY218_.jpg,4.6 out of 5 stars,$9.99
42,GeRRiT [eSIM Device only] eSIM for China 5 Days (Unlimited* Edition) 4G LTE Data (No Voice/Text) eSIM | China Mobile Network | China Local Support | Can use Messaging App (Per Day 3GB - 7 Days),https://m.media-amazon.com/images/I/51JYtisM3NL._AC_UY218_.jpg,No Rating,$18.43
